# Size, Avg Latency(us),Min Latency(us),Max Latency(us),Iterations
4,27.25,23.27,42.30,262144
8,26.01,21.89,41.01,262144
16,27.06,23.11,42.27,262144
32,26.97,22.85,42.23,262144
64,27.84,23.83,43.17,262144
128,30.63,26.34,46.67,262144
256,33.09,28.47,49.98,262144
512,32.53,28.00,49.48,262144
1024,36.25,31.07,53.69,262144
2048,72.69,67.73,81.17,262144
4096,117.22,110.80,129.98,262144
8192,220.74,205.08,263.64,262144
16384,68.30,65.23,77.10,262144
32768,80.65,77.96,86.89,262144
65536,95.06,91.60,102.95,262144
131072,128.64,125.49,136.68,262144
262144,213.08,210.18,221.35,262144
524288,426.70,419.62,444.25,262144
1048576,970.80,947.09,1004.44,262144
2097152,3191.66,3117.29,3284.45,262144
