# Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations
1,5.07,1.41,20.65,262144
2,5.17,1.39,20.84,262144
4,5.14,1.39,20.69,262144
8,5.15,1.38,20.64,262144
16,5.42,1.39,21.18,262144
32,5.52,1.6,21.2,262144
64,5.5,1.55,21.47,262144
128,6.47,2.91,23.43,262144
256,6.74,3.09,24.81,262144
512,6.71,2.97,24.61,262144
1024,7.36,3.51,26.12,262144
2048,8.51,4.12,28.02,262144
4096,9.66,4.59,31.15,262144
8192,13.2,6.27,37.91,262144
16384,109.87,1.11,212.91,262144
32768,50.6,25.76,82.09,262144
65536,104.15,53.07,147.43,262144
131072,213.77,106.9,313.56,262144
262144,443.37,238.77,664.36,262144
524288,886.76,473.13,1352,262144
1048576,1574.52,883.29,2515.79,262144
2097152,2754.16,1487.57,4194.47,262144
