size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
1,262144,1.1684701423643688e-6,1.17156213378908e-6,1.1704324558675302e-6
2,262144,1.1368683891297998e-6,1.1390154647823198e-6,1.1379703358709983e-6
4,262144,1.56697314071675e-6,1.56996242904682e-6,1.5691804945617987e-6
8,262144,1.7984593620296838e-6,1.8016433219907496e-6,1.801095710054068e-6
16,262144,2.0826307830811514e-6,2.091325256347884e-6,2.0897859797179603e-6
32,262144,2.585194488525035e-6,2.5897435340880826e-6,2.5893823811561095e-6
64,262144,3.143771999359606e-6,3.2855070381164133e-6,3.2188252684175925e-6
128,262144,4.51846051025374e-6,5.181926021575447e-6,4.86038464348015e-6
256,262144,7.085919364928968e-6,8.713816619872465e-6,7.909223172813615e-6
512,262144,0.0001652373488960219,0.00016524807576370401,0.00016524760037143498
1024,262144,0.00017319740034104153,0.0001732201736068703,0.00017321969692793483
2048,262144,0.00018734056579590528,0.0001873618335533105,0.000187361199163273
4096,262144,0.0002254010427436518,0.00022542527985763893,0.00022542449269460262
8192,262144,0.0002963620146560717,0.00029640037333297873,0.0002963991222529218
16384,262144,0.00031146442109298666,0.0003114976959037671,0.00031149399853373625
32768,262144,0.0005476769956894681,0.000547715420921282,0.0005477112780331572
65536,262144,0.0010755135426368948,0.0010755379811059301,0.0010755349529540518
131072,262144,0.002095105424892336,0.002095139168903502,0.0020951328153999424
262144,262144,0.004147030111702459,0.0041472230703770985,0.004147196260279927
524288,262144,0.008253940318023732,0.008254139138938613,0.008254100092203197
1048576,262144,0.01646232484423958,0.01646251807245013,0.016462473691972117
2097152,262144,0.03319566503939545,0.03319600954429963,0.033195937544118696
