size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.8916259002682993e-7,3.287859916687171e-7,2.982257563769715e-7
1,262144,1.2223834789276164e-5,1.2228063621520923e-5,1.2227826780051004e-5
2,262144,1.2980037933349324e-5,1.2984377258300926e-5,1.298404745376102e-5
4,262144,1.3960930366516543e-5,1.3965714481355047e-5,1.396541054505108e-5
8,262144,1.5201617759705335e-5,1.5207753013611574e-5,1.52074882331193e-5
16,262144,1.783455247115634e-5,1.7841520622254266e-5,1.7841251586645686e-5
32,262144,2.4176662223813567e-5,2.4184458473208045e-5,2.4183841563761544e-5
64,262144,3.737867250824662e-5,3.7387665596010056e-5,3.738688894543076e-5
128,262144,6.578951731872317e-5,6.579900177764697e-5,6.57979382158225e-5
256,262144,0.00011831290465927452,0.00011832339340591325,0.00011832186322403017
512,262144,0.00015488324476623872,0.00015493725809860836,0.00015493307398155385
1024,262144,0.0001736940877151534,0.00017372775331497722,0.00017372085174676956
2048,262144,0.00019607968989178144,0.00019611056095505952,0.0001960976038495914
4096,262144,0.00023840814927291636,0.0002384373797721989,0.0002384312835522909
8192,262144,0.00031528917508319735,0.0003153184222830878,0.0003153103299694695
16384,262144,0.0005968155211066631,0.0005969157596587783,0.0005969021694483157
32768,262144,0.0017172716321030212,0.00171792683829131,0.0017177287054709787
65536,262144,0.007695237753452193,0.007695827581096675,0.007695534992642847
131072,262144,0.018170887054401088,0.01817129345113881,0.018171086635921596
262144,262144,0.03137490722856301,0.031376165279409576,0.031375595551687015
524288,262144,0.06454263386379082,0.06454333654967902,0.06454300237783656
1048576,262144,0.12403227071959683,0.12403317198671213,0.12403273407038728
2097152,262144,0.25778452117248557,0.25778554561247974,0.2577850466967736
