size (bytes),iterations,time (seconds)
1,262144,15.848963962554935
2,262144,15.843404052734373
4,262144,15.89313251876831
8,262144,15.891533859252934
16,262144,15.964026969909675
32,262144,15.91022617340088
64,262144,16.91822682571411
128,262144,17.0914065322876
256,262144,17.229279773712154
512,262144,17.443015937805153
1024,262144,17.703676921844494
2048,262144,18.40612569046021
4096,262144,21.0678483543396
8192,262144,30.109897529602023
16384,262144,47.50540473175049
32768,262144,81.88461769485474
65536,262144,157.8546507263184
131072,262144,311.4317353477478
262144,262144,621.5569441642762
