size (bytes),iterations,time (seconds)
1,262144,17.27235101699829
2,262144,17.304037048339847
4,262144,17.396837841033932
8,262144,17.532649009704595
16,262144,17.330430477142333
32,262144,17.32865139770507
64,262144,18.4469181213379
128,262144,18.551729862213154
256,262144,18.560115024566652
512,262144,18.732833560943615
1024,262144,18.986338939666748
2048,262144,20.128837585449222
4096,262144,23.111946895599395
8192,262144,32.59484519958495
16384,262144,51.39059039688108
32768,262144,85.28583447265628
65536,262144,157.65846320724484
131072,262144,303.2644671630859
262144,262144,594.6874288635253
524288,262144,1176.3832546310425
1048576,262144,2332.004677013397
2097152,262144,4672.189030509948
