size (bytes),iterations,time (seconds)
0,262144,4.176054592132568
1,262144,17.36232615661621
2,262144,17.47819027328491
4,262144,17.392629768371577
8,262144,17.40115980148316
16,262144,17.281282096862796
32,262144,17.323692131042485
64,262144,18.313300109863295
128,262144,18.579026828765866
256,262144,18.585524662017825
512,262144,18.79224111557006
1024,262144,19.030738704681394
2048,262144,20.13396891021728
4096,262144,23.105211315155035
8192,262144,32.67323955154417
16384,262144,51.47812461471561
32768,262144,85.67338803863527
65536,262144,158.01722397994996
131072,262144,304.1806349449157
262144,262144,596.4364680404664
524288,262144,1179.4166387100222
1048576,262144,2332.454763446808
2097152,262144,4666.5316352424625
