size (bytes),iterations,time (seconds)
0,262144,2.914867877960205
1,262144,15.959167304992675
2,262144,15.972284427642824
4,262144,16.002264251708983
8,262144,16.008072380065915
16,262144,16.0597759590149
32,262144,16.08008465957641
64,262144,17.096856201171878
128,262144,17.235170932769776
256,262144,17.379555858612054
512,262144,17.60777647781371
1024,262144,17.927912456512466
2048,262144,18.587836414337154
4096,262144,21.673995353698736
8192,262144,30.219853691101076
16384,262144,47.95785123443602
32768,262144,83.02195181274415
65536,262144,160.06652614212038
131072,262144,316.92406917572015
262144,262144,630.0894592247009
524288,262144,1274.0574059638975
1048576,262144,2585.801929424286
2097152,262144,5226.746128341674
