size (bytes),iterations,time (seconds)
0,262144,4.188619606018067
1,262144,17.549715328216553
2,262144,17.567301036834717
4,262144,17.53797751998901
8,262144,17.63435552215577
16,262144,17.534732849121095
32,262144,17.61626145935058
64,262144,18.77020683288575
128,262144,18.859205711364748
256,262144,18.86772953796386
512,262144,19.116411190032963
1024,262144,19.36024727630615
2048,262144,20.042508834838856
4096,262144,22.60579512405395
8192,262144,30.931477584838856
16384,262144,47.84496239471434
32768,262144,81.30594063568115
65536,262144,154.66163942718504
131072,262144,300.87836016464234
262144,262144,595.3252574462891
524288,262144,1178.737474937439
1048576,262144,2353.8126846694945
2097152,262144,4711.662881282808
