size (bytes),iterations,time (seconds)
1,262144,16.026826847076414
2,262144,16.05204743957519
4,262144,16.077604911804194
8,262144,16.056632843017578
16,262144,16.16846306991577
32,262144,16.11642401123047
64,262144,17.208132198333743
128,262144,17.280682476043694
256,262144,17.467596443176276
512,262144,17.63681373214722
1024,262144,17.98491410064698
2048,262144,18.633643733978253
4096,262144,21.746367710113528
8192,262144,30.51428927230832
16384,262144,48.1531977005005
32768,262144,82.97159972000124
65536,262144,160.22189115905763
131072,262144,315.42846738052367
262144,262144,631.6515863113405
524288,262144,1283.5324842643736
1048576,262144,2593.3180266494755
2097152,262144,5246.827689758301
