size (bytes),iterations,time (seconds)
1,262144,7.362809036254883
2,262144,7.352021697998048
4,262144,7.359162418365478
8,262144,7.354404506683348
16,262144,7.356657848358153
32,262144,7.405096191406248
64,262144,7.850176055908202
128,262144,7.92586846923828
256,262144,7.959807128906255
512,262144,8.049724033355721
1024,262144,8.216593116760246
2048,262144,8.486209087371833
4096,262144,9.577402004241941
8192,262144,10.648917598724378
16384,262144,11.707560775756846
32768,262144,13.408785182952881
65536,262144,16.743604911804187
131072,262144,22.88458020782472
262144,262144,37.775900955200186
524288,262144,66.77840627670291
1048576,262144,125.49263321685791
2097152,262144,244.14897711944587
