cpu-bind=MASK - n2cn1082, task  0  0 [84019]: mask |BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB|  set
Running "module reset". Resetting modules to system default. The following $MODULEPATH directories have been removed: None
cpu-bind=MASK - n2cn1082, task  0  0 [84087]: mask |B-------|--------||--------|--------||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn1083, task  1  0 [904135]: mask |B-------|--------||--------|--------||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
[n2cn1083:904135] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.][./././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.]
[n2cn1083:904135] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.][./././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.]
[n2cn1082:84087] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.][./././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.]
[n2cn1082:84087] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.][./././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././.]
----------------------------------------
Running benchmark OSU Accumulate Latency with type Int8 on 2 MPI ranks with window synchronization: fence

size (bytes),iterations,time (seconds)
0,262144,2.890409183502197
1,262144,15.848963962554935
2,262144,15.843404052734373
4,262144,15.89313251876831
8,262144,15.891533859252934
16,262144,15.964026969909675
32,262144,15.91022617340088
64,262144,16.91822682571411
128,262144,17.0914065322876
256,262144,17.229279773712154
512,262144,17.443015937805153
1024,262144,17.703676921844494
2048,262144,18.40612569046021
4096,262144,21.0678483543396
8192,262144,30.109897529602023
16384,262144,47.50540473175049
32768,262144,81.88461769485474
65536,262144,157.8546507263184
131072,262144,311.4317353477478
262144,262144,621.5569441642762
524288,262144,1249.5240528640747
